N° Ticket;Statut;Titre;N° PPV Site;Nom du Site;Code Banco;Nom Contrat;Code Agence;Agence;Région;Util. Demandeur;Util. Prise en compte;Util. Resp. Ticket;Util. Cloture;Date Demande;Date Prise en compte;Date Réal. Prog.;Date Cloture;Type de compte;Imputation;
28574;Cloturé sans suite;topkapi;98032;FRONTIGNAN PR Industrie;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BGJ399;HCE437;HCE437;HCE437;2019-10-22;2019-11-04;2019-11-04;2019-11-04;Exploitation;-;
28572;Cloturé sans suite;topkapi sete;15804;VIC LA GARDIOLE PR DIP Roubine;24611;SETE AGGLOPOLE MEDITERRANEE - MIREVAL ET VIC LA GARDIOLE;1111;AG Thau Méditerranée;Occitanie;BGJ399;HCE437;HCE437;HCE437;2019-10-22;2019-11-04;2019-11-04;2019-11-04;Exploitation;-;
28569;Cloturé sans suite;appel téléphone jfd;102425;SETE MHEU CD2  Timac Agro;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BGJ399;GJH222;GJH222;GJH222;2019-10-22;2019-10-22;2019-10-22;2019-10-22;Exploitation;-;
28565;Cloturé sans suite;pavé  "entrée stpe;15820;SETE PR DIP Plagette;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BGJ399;GJH222;GJH222;GJH222;2019-10-22;2019-10-22;2019-10-22;2019-10-22;Exploitation;-;
28549;Cloturé sans suite;Changement de classification Alarmes;85115;DRÉMIL-LAFAGE STEP 3 ZA;27312;TOULOUSE MÉTROPOLE - ASTEO;1137;AG Toulouse;Occitanie;AJC309;AIH262;AIH262;AIH262;2019-10-22;2019-10-22;2019-10-22;2019-10-23;Exploitation;-;
28541;Cloturé;à intégrer sur Topkapi;102133;CARCASSONNE MHEU7 route Minervoise bord du canal;24276;CA CARCASSONNE AGGLO - Lot n°2 - Assainissement collectif;1113;AG Aude Pyrénées Orientales;Occitanie;AFG555;AFG555;AFG555;AFG555;2019-10-22;2019-10-22;2019-10-22;2019-10-25;Investissement;X505T7FXB434;
28523;Cloturé sans suite;courbe Chlore;21187;GALLARGUES-LE-MONTUEUX UTEP Fontanisse;22700;GALLARGUES-LE-MONTUEUX;1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2019-10-21;2019-10-21;2019-10-21;2019-10-21;Exploitation;-;
28521;Cloturé;à intégrer sur Topkapi;102127;CARCASSONNE MHEU2  traverse de grèzes;24276;CA CARCASSONNE AGGLO - Lot n°2 - Assainissement collectif;1113;AG Aude Pyrénées Orientales;Occitanie;AFG555;AFG555;AFG555;AFG555;2019-10-21;2019-10-21;2019-10-21;2019-10-25;Investissement;X505T7FXB434;
28513;Cloturé sans suite;modification TOPKAPI sirènes Crues;69908;BÉZIERS  DP Bureau  Agence+Ateliers+ Réseaux AEP Beziers;HC115;Hors Contrat;HC115;Hors Contrat;Occitanie;DFF227;GJH222;GJH222;GJH222;2019-10-21;2019-10-22;2019-10-22;2019-10-22;Exploitation;-;
28510;Cloturé sans suite;Communication basculé en GPRS;61376;CONDOM PR Pasteur;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;ICK222;AIH262;AIH262;AIH262;2019-10-21;2019-10-21;2019-10-21;2019-10-23;Exploitation;-;
28509;Cloturé;à intégrer sur Topkapi;101990;VILLEGAILHENC MHEU2 rue du pont;24276;CA CARCASSONNE AGGLO - Lot n°2 - Assainissement collectif;1113;AG Aude Pyrénées Orientales;Occitanie;AFG555;AFG555;AFG555;AFG555;2019-10-21;2019-10-21;2019-10-21;2019-10-25;Investissement;X505T7FXB434;
28505;Cloturé sans suite;topkapi pezenas;;;14347;CA HERAULT MEDITERRANEE - PEZENAS;1111;AG Thau Méditerranée;Occitanie;BGJ399;GJH222;GJH222;GJH222;2019-10-21;2019-12-23;2019-12-24;2020-07-15;Exploitation;-;
28504;Cloturé sans suite;topkapi pezenas      Do;;;14347;CA HERAULT MEDITERRANEE - PEZENAS;1111;AG Thau Méditerranée;Occitanie;BGJ399;GJH222;GJH222;GJH222;2019-10-21;2019-12-24;2019-12-24;2019-12-24;Exploitation;-;
