N° Ticket;Statut;Titre;N° PPV Site;Nom du Site;Code Banco;Nom Contrat;Code Agence;Agence;Région;Util. Demandeur;Util. Prise en compte;Util. Resp. Ticket;Util. Cloture;Date Demande;Date Prise en compte;Date Réal. Prog.;Date Cloture;Type de compte;Imputation;
58220;Cloturé sans suite;Syno;89269;SAINT-LAURENT-D'OLT QSECTO 24 Antenne Canet / Marijolet;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-02;Exploitation;-;
58219;Cloturé sans suite;Modif;65611;SAINT-HIPPOLYTE Surpresseur Réservoir de Fonfrège;28667;SAINT-HIPPOLYTE - Exploitation du service d'eau potable;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58218;Cloturé sans suite;Modif;66190;CAMPAGNAC QSECTO 28 Antenne les Courtineaux;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58217;Cloturé sans suite;Modif;66185;PIERREFICHE QSECTO 10 Antenne Pierrefiche/Galinière;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58211;Cloturé sans suite;TRES URGENT Index Aquacalc;15641;COURNONTERRAL QSECTO Plan de Croix;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;VJ5510;GJH222;GJH222;GJH222;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58210;Cloturé sans suite;Création carte SIM;65614;SAINT-HIPPOLYTE Compteur achat  Interco Carladez (St hippolyte-Cros);28667;SAINT-HIPPOLYTE - Exploitation du service d'eau potable;1109;AG Occitanie Nord Est;Occitanie;CEA207;GJH222;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-02;2021-03-08;Exploitation;-;
58202;Cloturé sans suite;Correction libellés;15812;VILLEVEYRAC PR+TP Les Gousses;19955;NORD DU BASSIN DE THAU (CC) - Collecte & transport des EU;1111;AG Thau Méditerranée;Occitanie;DGH201;QJA840;QJA840;QJA840;2021-03-01;2021-03-02;2021-03-17;2021-03-02;Exploitation;-;
58187;Cloturé sans suite;Remontée aléatoire;100514;MARSEILLAN QSECTO Chemin des Pêcheurs;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;VJ5510;GJH222;GJH222;GJH222;2021-03-01;2021-03-01;2021-03-01;2021-03-04;Exploitation;-;
58181;Cloturé sans suite;LACBUS;15945;GDR PR Z 20;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58168;Cloturé sans suite;Ajouter information cuve Nutriox;102365;TOURBES PR+TP Village Tourbes;14347;CA HERAULT MEDITERRANEE - PEZENAS;1111;AG Thau Méditerranée;Occitanie;ICA467;QJA840;QJA840;QJA840;2021-03-01;2021-03-02;2021-03-17;2021-03-02;Exploitation;-;
58151;Cloturé sans suite;Problème remonté données;61381;CONDOM STEP;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;QB4090;AIH262;AIH262;AIH262;2021-03-01;2021-03-05;2021-03-20;2021-03-05;Exploitation;-;
58143;Cloturé sans suite;Correction libellés;15721;MONTBAZIN PR+TP Lou Lavadou;19955;NORD DU BASSIN DE THAU (CC) - Collecte & transport des EU;1111;AG Thau Méditerranée;Occitanie;DGH201;QJA840;QJA840;QJA840;2021-03-01;2021-03-02;2021-03-17;2021-03-02;Exploitation;-;
58142;Cloturé sans suite;Prob Com;65614;SAINT-HIPPOLYTE Compteur achat  Interco Carladez (St hippolyte-Cros);28667;SAINT-HIPPOLYTE - Exploitation du service d'eau potable;1109;AG Occitanie Nord Est;Occitanie;CEA207;FCK343;FCK343;FCK343;2021-03-01;2021-03-01;2021-03-01;2021-03-01;Exploitation;-;
58061;Cloturé sans suite;tableur reservoir montblanc M01;67905;MONTBLANC Réservoirs  (2*400+200+300) + Reprise;22480;L'EAU DE BÉZIERS MEDITERRANEE;1112;AG Béziers Méditerranée;Occitanie;ICG507;QJA840;QJA840;QJA840;2021-02-25;2021-03-01;2021-03-16;2021-03-01;Exploitation;-;
58057;Cloturé sans suite;Alarme chlore camplong reservoir;13467;CAMPLONG Réservoir 2*100 + surpresseur;23847;CAMPLONG;1112;AG Béziers Méditerranée;Occitanie;ICG507;QJA840;QJA840;QJA840;2021-02-25;2021-03-01;2021-03-16;2021-03-01;Exploitation;-;
58026;Cloturé;Nouveau débitmètre;70886;RICAUD STEP;7041;CC CASTELNAUDARY LAURAGAIS AUDOIS - RICAUD;1113;AG Aude Pyrénées Orientales;Occitanie;HEI224;AFG555;AFG555;AFG555;2021-02-25;2021-03-08;2021-03-23;2021-03-08;Exploitation;-;
58016;Cloturé sans suite;Tableur reservoir Mercorent BZ2;93778;BÉZIERS Reservoir + Surpresseur Mercorent;22480;L'EAU DE BÉZIERS MEDITERRANEE;1112;AG Béziers Méditerranée;Occitanie;ICG507;QJA840;QJA840;QJA840;2021-02-25;2021-03-01;2021-03-16;2021-03-01;Exploitation;X;
58011;Cloturé sans suite;MaJ PC Bureautique;;;;;HC115;Hors Contrat;Occitanie;FCK343;FCK343;FCK343;FCK343;2021-02-25;2021-02-25;2021-02-25;2021-02-25;Exploitation;-;
57975;Cloturé sans suite;Automate à l'arrêt;15847;SETE STEP;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BC5454;GJH222;GJH222;GJH222;2021-02-24;2021-02-24;2021-02-24;2021-02-24;Exploitation;-;
57957;Cloturé sans suite;LACBUS;15940;GDR PR SALONIQUE 1;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57955;Cloturé sans suite;Mise en place Télécontrôle Secours Marseillan;;;;;HC115;Hors Contrat;Occitanie;FCK343;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57952;Cloturé sans suite;LACBUS;15938;GDR PR 5;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57944;Cloturé sans suite;LACBUS;15927;GDR PR 3;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57943;Cloturé sans suite;LACBUS;15936;GDR PR ECOLE 1;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-24;2021-02-24;2021-02-24;2021-03-01;Exploitation;-;
57907;Cloturé sans suite;URGENT Modification poids d'impulsion;81197;MARSEILLAN QSECTO Route de Sète;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;VJ5510;HCE437;HCE437;HCE437;2021-02-24;2021-02-26;2021-02-26;2021-02-26;Exploitation;-;
57760;Cloturé sans suite;Open Client Emilien;;;;;1109;AG Occitanie Nord Est;Occitanie;FCK343;FCK343;FCK343;FCK343;2021-02-22;2021-02-22;2021-02-22;2021-02-22;Exploitation;-;
57740;Cloturé sans suite;LA GALERIE Commande des pompes;13625;CARCASSONNE UTEP de Maquens;24275;CA CARCASSONNE AGGLO - Lot n°1 - Eau potable;1113;AG Aude Pyrénées Orientales;Occitanie;BGK570;;;AFG555;2021-02-22;1970-01-01;1970-01-01;2021-02-22;Exploitation;X505PRO24275;
57738;Cloturé sans suite;Inventaire baie capiscol;67755;BÉZIERS DP Bureaux Centre Régional Béziers;HC115;Hors Contrat;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-22;2021-02-22;2021-02-22;2021-02-22;Exploitation;-;
57706;Cloturé sans suite;Prob Com;15956;LE GRAU-DU-ROI Réservoir Boucanet;24712;TERRE DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;FO4106;FCK343;FCK343;FCK343;2021-02-22;2021-02-22;2021-02-22;2021-02-22;Exploitation;-;
57672;Cloturé sans suite;topkapi SAM synoptique;98061;FRONTIGNAN PR Entrée;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BGJ399;;;GJH222;2021-02-22;1970-01-01;1970-01-01;2021-02-24;Exploitation;-;
57671;Cloturé sans suite;topkapi SAM synoptique;98060;FRONTIGNAN PR Courlis;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;BGJ399;;;GJH222;2021-02-22;1970-01-01;1970-01-01;2021-02-24;Exploitation;-;
57656;Cloturé sans suite;Prob Com;16262;MARSILLARGUES PR ASA NORD;16908;MARSILLARGUES - ASA ASSAINISSEMENT - Maintenance stations de pompage;1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2021-02-19;2021-02-19;2021-02-19;2021-02-19;Exploitation;-;
57655;Cloturé sans suite;Remplacement LT42 par LS42;82795;CODOGNAN QSECTO 12 chemin des Bouillens;20636;MOYEN RHONY (SIVOM du);1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-19;2021-02-19;2021-02-19;2021-02-19;Exploitation;-;
57651;Cloturé;Rajout d'un compteur Alim Reservoir Village;13585;TARGASSONNE UTEP Arsenic + Réservoir Haut;24803;TARGASONNE;1113;AG Aude Pyrénées Orientales;Occitanie;DR4105;AFG555;AFG555;AFG555;2021-02-19;2021-02-22;2021-03-09;2021-02-22;Exploitation;-;
57616;Cloturé sans suite;Ajout information + courbes cl2/turbi;13496;VIAS Plage UTEP Déferrisation+Réservoir Farinette 600m3;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;CBE427;QJA840;QJA840;QJA840;2021-02-19;2021-03-02;2021-03-17;2021-03-02;Exploitation;-;
57531;Cloturé sans suite;supprimer le site dans Topkapi et A2Itools;61101;PLAGNE Usine;19903;PLAGNE - Exploitation des ouvrages de production et de traitement d'eau potable;1110;AG Pyrénées Val de Garonne;Occitanie;DFK221;AIH262;AIH262;AIH262;2021-02-18;2021-02-18;2021-02-18;2021-02-18;Exploitation;-;
57475;Cloturé sans suite;Ajout courbe;21187;GALLARGUES-LE-MONTUEUX UTEP Fontanisse;22700;GALLARGUES-LE-MONTUEUX;1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2021-02-18;2021-02-18;2021-02-18;2021-02-18;Exploitation;-;
57453;Cloturé sans suite;Changement de carte SIM;66185;PIERREFICHE QSECTO 10 Antenne Pierrefiche/Galinière;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;CEA207;GJH222;FCK343;FCK343;2021-02-18;2021-02-18;2021-02-18;2021-02-18;Exploitation;-;
57411;Cloturé sans suite;Etude Armele Dégrilleur;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-17;2021-02-17;2021-03-31;2021-03-08;Exploitation;-;
57410;Cloturé sans suite;Divers Marseillan;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-17;2021-02-17;2021-02-12;2021-02-17;Exploitation;-;
57409;Cloturé sans suite;Défaut Mesure Balaruc;;;;;1111;AG Thau Méditerranée;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-17;2021-02-17;2021-02-11;2021-02-17;Exploitation;-;
57403;Cloturé sans suite;Modif Tableur;15872;AIGUES MORTES PR boudres;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-17;2021-02-17;2021-02-17;2021-02-17;Exploitation;-;
57402;Cloturé sans suite;Modif Tableur;64717;AIGUES MORTES PR Pataquiere;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-17;2021-02-17;2021-02-17;2021-02-17;Exploitation;-;
57400;Cloturé sans suite;Intégration d'alarme poste toutes eaux;13461;AGDE STEP St Vincent;10069;CA Hérault Méditerranée - AGDE;1111;AG Thau Méditerranée;Occitanie;DHA168;GJH222;GJH222;GJH222;2021-02-17;2021-02-17;2021-02-17;2021-02-17;Exploitation;-;
57375;Cloturé sans suite;Contrôle chaine remontée données;82794;CODOGNAN QSECTO 11 rue de la verrerie;20636;MOYEN RHONY (SIVOM du);1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-17;2021-02-17;2021-02-17;2021-02-17;Exploitation;-;
57372;Cloturé sans suite;Contrôle chaine remontée données;16419;CALVISSON QSECTO 31 Route de Congénies;9539;VAUNAGE (SI de la);1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-17;2021-02-17;2021-02-17;2021-02-17;Exploitation;-;
57345;Cloturé sans suite;Extraction données;74958;LAPANOUSE STEP Séverac le chateau;27067;SEVERAC D'AVEYRON - Exploitation de la STEP des Vialettes et de 3 PR;1109;AG Occitanie Nord Est;Occitanie;BDA246;FCK343;FCK343;FCK343;2021-02-17;2021-02-17;2021-02-17;2021-02-17;Exploitation;-;
57341;Cloturé sans suite;ligne téléphonique 2IT;;;19699;SIVU DU PAYS D'ACCUEIL DE LA VALLÉE DU LOT - Exploitation STEP;1109;AG Occitanie Nord Est;Occitanie;NJ5662;FCK343;FCK343;FCK343;2021-02-16;2021-02-17;2021-03-04;2021-02-17;Exploitation;-;
57333;Cloturé sans suite;ajouter courbes sur tsms;;;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2021-02-16;2021-02-17;2021-03-04;2021-03-05;Exploitation;-;
57330;Cloturé sans suite;Transfert des alarmes A2I vers Topkapi ER;;;;;1110;AG Pyrénées Val de Garonne;Occitanie;AIH262;AIH262;AIH262;AIH262;2021-02-16;2021-02-16;2021-02-16;2021-02-16;Exploitation;-;
57329;Cloturé sans suite;Modifs;15949;GDR PR Cimetière;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-16;2021-02-17;2021-03-04;2021-02-17;Exploitation;-;
57310;Cloturé sans suite;Remontée données Aquacalc;64703;GDR PR camping Secret de Camargue;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-16;2021-02-16;2021-02-16;2021-02-16;Exploitation;-;
57309;Cloturé sans suite;Prob Com;15872;AIGUES MORTES PR boudres;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-16;2021-02-16;2021-02-16;2021-02-16;Exploitation;-;
57308;Cloturé sans suite;Tableur rouat R01;13297;BÉZIERS Reservoir + Pompage Rouat 20 000;22480;L'EAU DE BÉZIERS MEDITERRANEE;1112;AG Béziers Méditerranée;Occitanie;ICG507;GJH222;GJH222;GJH222;2021-02-16;2021-02-22;2021-02-22;2021-02-22;Exploitation;-;
57306;Cloturé sans suite;Remplacement du serveur;;;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GJH222;GJH222;GJH222;GJH222;2021-02-16;2021-02-16;2021-02-16;2021-02-16;Exploitation;-;
57291;Cloturé sans suite;Modif TM/TR;16262;MARSILLARGUES PR ASA NORD;16908;MARSILLARGUES - ASA ASSAINISSEMENT - Maintenance stations de pompage;1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-16;2021-02-16;2021-02-16;2021-02-16;Exploitation;-;
57290;Cloturé sans suite;Modif TM/TR;16263;MARSILLARGUES PR ASA SUD;16908;MARSILLARGUES - ASA ASSAINISSEMENT - Maintenance stations de pompage;1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-16;2021-02-16;2021-02-16;2021-02-17;Exploitation;-;
57283;Cloturé sans suite;Page Synthèse PR (PS);;;;;1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2021-02-16;2021-02-16;2021-02-16;2021-02-19;Exploitation;-;
57273;Cloturé sans suite;courbes Topkapi;67638;SETE Sirène tube Canal Amont;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GID021;GJH222;GJH222;GJH222;2021-02-16;2021-02-19;2021-02-19;2021-02-22;Exploitation;-;
57266;Cloturé sans suite;Intégration sur topkapi et aquacalac les données EDF " Feuille topkapi VE6";13408;VENDRES PR1 Pluton (Vendres Plage);20430;CC LA DOMITIENNE - VENDRES;1112;AG Béziers Méditerranée;Occitanie;DFF227;GJH222;GJH222;GJH222;2021-02-16;2021-02-17;2021-02-17;2021-02-22;Exploitation;-;
57201;Cloturé sans suite;Rapatriement des données des DO sur les 2 Topkapi;;;14347;CA HERAULT MEDITERRANEE - PEZENAS;1111;AG Thau Méditerranée;Occitanie;ICA467;GJH222;GJH222;GJH222;2021-02-15;2021-02-15;2021-02-15;2021-02-17;Exploitation;-;
57180;Cloturé sans suite;MaJ Aqclc;15899;BERNIS Pompage Canferin + ERCA2;9539;VAUNAGE (SI de la);1109;AG Occitanie Nord Est;Occitanie;HBK092;FCK343;FCK343;FCK343;2021-02-12;2021-02-12;2021-02-12;2021-02-16;Exploitation;-;
57179;Cloturé;intégrer le débitmètre eaux de service;13625;CARCASSONNE UTEP de Maquens;24275;CA CARCASSONNE AGGLO - Lot n°1 - Eau potable;1113;AG Aude Pyrénées Orientales;Occitanie;AFG555;AFG555;AFG555;AFG555;2021-02-12;2021-02-12;2021-02-12;2021-02-12;Investissement;X505T9DXB286;
57169;Cloturé;pb cpt horaire;13871;QUILLAN PR la Forge;18993;QUILLAN;1113;AG Aude Pyrénées Orientales;Occitanie;IHC554;AFG555;AFG555;AFG555;2021-02-12;2021-02-12;2021-02-12;2021-02-12;Exploitation;-;
57168;Cloturé;pb cpt horaire;13876;QUILLAN PR Cancilla;18993;QUILLAN;1113;AG Aude Pyrénées Orientales;Occitanie;IHC554;AFG555;AFG555;AFG555;2021-02-12;2021-02-12;2021-02-12;2021-02-12;Exploitation;-;
57146;Cloturé sans suite;Intégration Lacbus;13505;VIAS PR02V Chemin du Clot GE;7995;VIAS;1111;AG Thau Méditerranée;Occitanie;ICA467;HCE437;GJH222;GJH222;2021-02-12;2021-02-12;2021-02-12;2021-02-22;Exploitation;-;
57109;Cloturé sans suite;DiagPerm Remplacement Sonde;94398;LE GRAU-DU-ROI QEU 9 Avenue de Camargue;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-12;2021-02-12;2021-02-12;2021-02-12;Exploitation;-;
57093;Cloturé sans suite;Page Synthèse PR CCTC;;;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2021-02-11;2021-02-11;2021-02-11;2021-02-16;Exploitation;-;
57092;Cloturé sans suite;TeleReglage et Retour;21200;LE GRAU-DU-ROI Réservoir Port Camargue;24712;TERRE DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;SL5059;FCK343;FCK343;FCK343;2021-02-11;2021-02-11;2021-02-11;2021-02-11;Exploitation;-;
57091;Cloturé sans suite;Supp et créer sur grotte Paque;77013;COLLIAS QSECTO 5 Chemin Barry;22643;COLLIAS - Entretien des ouvrages d'adduction d'eau potable;1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-11;2021-02-11;2021-02-11;2021-02-11;Exploitation;-;
57054;Cloturé sans suite;Changer adresse TC arrêt pompage;61371;CONDOM PR Gauge;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;ICK222;AIH262;AIH262;AIH262;2021-02-11;2021-02-11;2021-02-11;2021-02-11;Exploitation;-;
57041;A cloturer;LAUNAGUET PR Triasis;84993;LAUNAGUET PR Triasis;27312;TOULOUSE MÉTROPOLE - ASTEO;1137;AG Toulouse;Occitanie;TUB171;TUB171;NKA972;;2021-02-11;2021-02-11;2021-02-26;;Exploitation;-;
57028;Cloturé;Programmation index debit;97736;ALZONNE POMPAGE+RESERVOIR Bâche Dominique;24275;CA CARCASSONNE AGGLO - Lot n°1 - Eau potable;1113;AG Aude Pyrénées Orientales;Occitanie;HEI224;AFG555;AFG555;AFG555;2021-02-11;2021-02-12;2021-02-27;2021-02-12;Exploitation;-;
57024;Cloturé sans suite;Modif infos dans Topkapi;64736;QUISSAC Reservoir clinique;28951;QUISSAC - CLINIQUE NEUROPSYCHIATRIQUE - Entretien, télésurveillance désinfection;1109;AG Occitanie Nord Est;Occitanie;FFI241;FCK343;FCK343;FCK343;2021-02-11;2021-02-11;2021-02-26;2021-03-11;Exploitation;-;
57012;Cloturé sans suite;Diagnostiquer mauvaise remontée;15641;COURNONTERRAL QSECTO Plan de Croix;2945;BAS LANGUEDOC (SIAE);1111;AG Thau Méditerranée;Occitanie;VJ5510;;;GJH222;2021-02-11;1970-01-01;1970-01-01;2021-02-23;Exploitation;-;
56985;Cloturé sans suite;creation courbe centrifugeuse;61381;CONDOM STEP;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;QB4090;AIH262;AIH262;AIH262;2021-02-10;2021-03-05;2021-03-20;2021-03-05;Exploitation;-;
56924;Cloturé sans suite;Export .PL;63651;BANASSAC STEP La Canourgue;19699;SIVU DU PAYS D'ACCUEIL DE LA VALLÉE DU LOT - Exploitation STEP;1109;AG Occitanie Nord Est;Occitanie;NJ5662;FCK343;FCK343;FCK343;2021-02-10;2021-02-10;2021-02-10;2021-02-10;Exploitation;-;
56915;Cloturé sans suite;courbes topkapi;89743;NEFFIÈS CAPTAGE+POMPAGE+BÄCHE;26878;CC LES AVANT MONTS - Assistance au service de l'eau potable;1112;AG Béziers Méditerranée;Occitanie;QY4096;;;GJH222;2021-02-10;1970-01-01;1970-01-01;2021-02-15;Exploitation;-;
56898;Cloturé sans suite;Modif Courbes;15946;GDR PR Z 30;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2021-02-09;2021-02-09;2021-02-09;2021-02-09;Exploitation;-;
56896;Cloturé sans suite;Modif niveau;94394;AIGUES-MORTES QEU 4 Chemin de Pataquière;21585;TERRES DE CAMARGUE (CC);1109;AG Occitanie Nord Est;Occitanie;IFD089;FCK343;FCK343;FCK343;2021-02-09;2021-02-10;2021-02-25;2021-02-12;Exploitation;-;
56894;Cloturé sans suite;prog topkapi;13876;QUILLAN PR Cancilla;18993;QUILLAN;1113;AG Aude Pyrénées Orientales;Occitanie;IHC554;;;AFG555;2021-02-09;1970-01-01;1970-01-01;2021-02-12;Exploitation;-;
56884;Cloturé sans suite;TC arrêt pompage à ajouter;61371;CONDOM PR Gauge;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;ICK222;AIH262;AIH262;AIH262;2021-02-09;2021-02-09;2021-02-09;2021-02-09;Exploitation;-;
56847;Cloturé;Niveau;97735;ALZONNE Bondouire basse/captage;24275;CA CARCASSONNE AGGLO - Lot n°1 - Eau potable;1113;AG Aude Pyrénées Orientales;Occitanie;HEI224;AFG555;AFG555;AFG555;2021-02-09;2021-02-22;2021-03-09;2021-02-22;Exploitation;-;
56844;Cloturé sans suite;Pas de défaut NTH;13294;VALENCE SUR BAISE STEP;24901;SIAEP DE CONDOM CAUSSENS ;1110;AG Pyrénées Val de Garonne;Occitanie;ICK222;AIH262;AIH262;AIH262;2021-02-09;2021-02-09;2021-02-09;2021-02-09;Exploitation;-;
56837;Cloturé sans suite;Vérification niveau urgence du 24volts télécommande;;;;;1110;AG Pyrénées Val de Garonne;Occitanie;GFA340;AIH262;AIH262;AIH262;2021-02-09;2021-02-09;2021-02-09;2021-02-09;Exploitation;-;
56836;Cloturé sans suite;Suppression des sites "capteurs bassin est";;;;;1137;AG Toulouse;Occitanie;NKA972;AIH262;AIH262;AIH262;2021-02-09;2021-02-09;2021-02-09;2021-03-08;Exploitation;-;
56824;Cloturé sans suite;Ligne tel Cave Coop St Hilaire;;;;;1109;AG Occitanie Nord Est;Occitanie;FCK343;FCK343;FCK343;FCK343;2021-02-08;2021-02-08;2021-02-08;2021-02-08;Exploitation;-;
56823;Cloturé sans suite;Modif Courbes;16217;SAINT-LAURENT-D'OLT Réservoir Bonneterre;7950;SIAEP DES VALLÉES DE LA SERRE ET D'OLT;1109;AG Occitanie Nord Est;Occitanie;BDA246;FCK343;FCK343;FCK343;2021-02-08;2021-02-08;2021-02-08;2021-02-08;Exploitation;-;
56814;Cloturé;prog topkapi;13842;VILLALIER Réservoir village sur tour;8362;CARCASSONNE AGGLO - VILLALIER;1113;AG Aude Pyrénées Orientales;Occitanie;IHC554;AFG555;AFG555;AFG555;2021-02-08;2021-02-22;2021-03-09;2021-02-22;Exploitation;-;
56789;Cloturé sans suite;Syno Onduleur Florensac;;;;;1111;AG Thau Méditerranée;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-08;2021-02-08;2021-02-05;2021-02-08;Exploitation;-;
56788;Cloturé sans suite;Calendrier Ast ER OCC;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-08;2021-02-08;2021-02-05;2021-02-08;Exploitation;-;
56787;Cloturé sans suite;Récup matériel + dépannage STEP Bez;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-08;2021-02-08;2021-02-05;2021-02-08;Exploitation;-;
56786;Cloturé sans suite;Problème télécontrole;;;;;HC115;Hors Contrat;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-08;2021-02-08;2021-02-23;2021-02-08;Exploitation;-;
56785;Cloturé sans suite;Matériel pour exploitation distante;;;;;1111;AG Thau Méditerranée;Occitanie;MLA174;GJH222;GJH222;GJH222;2021-02-08;2021-02-08;2021-02-09;2021-02-10;Exploitation;-;
56784;Cloturé sans suite;Divers appel téléphonique;;;;;1111;AG Thau Méditerranée;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-08;2021-02-08;2021-02-04;2021-02-08;Exploitation;-;
56783;Cloturé sans suite;Point tel TME;;;;;1111;AG Thau Méditerranée;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-08;2021-02-08;2021-02-23;2021-02-08;Exploitation;-;
56782;Cloturé sans suite;Aide Ijinus;;;;;1109;AG Occitanie Nord Est;Occitanie;IAF033;IAF033;IAF033;IAF033;2021-02-08;2021-02-08;2021-02-03;2021-02-08;Exploitation;-;
